FS House-hold Size,Gross Monthly Income Limit (185%FPL),Gross Monthly Income Limit (165% FPL),Gross Monthly Income Limit (130% FPL),Net Monthly Income Limit (100% FPL),Maximum Monthly Benefit
1,"$2,413","$2,152","$1,696","$1,305",$298
2,"$3,261","$2,909","$2,292","$1,763",$546
3,"$4,109","$3,665","$2,888","$2,221",$785
4,"$4,957","$4,421","$3,483","$2,680",$994
5,"$5,805","$5,177","$4,079","$3,138","$1,183"
6,"$6,653","$5,934","$4,675","$3,596","$1,421"
7,"$7,501","$6,690","$5,271","$4,055","$1,571"
8,"$8,349","$7,446","$5,867","$4,513","$1,789"
9,"$9,197","$8,203","$6,463","$4,972","$2,007"
10,"$10,044","$8,960","$7,059","$5,431","$2,225"
Each Additional Member,+$848,+$757,+$596,+$459,+$218